,PRODUCTO,PRECIO_MINORISTA,CATEGORIA,UNIDAD_MEDIDA_MIN
0,Yuca blanca,3.85,Tuberculos,KILOGRAMO
1,Leche fresca,4.9,Agro-industriales,LITRO
2,Olluco largo,4.05,Tuberculos,KILOGRAMO
3,Zanahoria,3.65,Hortalizas,KILOGRAMO
4,Azucar rubia nacional (granel),4.35,Agro-industriales,KILOGRAMO
5,Carne de pollo (eviscerado),10.15,Carnes y huevos,KILOGRAMO
6,Carne de porcino (corte unico),20.15,Carnes y huevos,KILOGRAMO
7,Haba verde serrana,3.85,Legumbres,KILOGRAMO
8,Ajo criollo o napuri,17.85,Hortalizas,KILOGRAMO
9,Huevos rosados,9.8,Carnes y huevos,KILOGRAMO
10,Chirimoya cumbe,9.85,Frutas,KILOGRAMO
11,Zapallo macre,3.55,Hortalizas,KILOGRAMO
12,Carne fresca de vacuno,22.75,Carnes y huevos,KILOGRAMO
13,Platano bellaco,4.1,Frutas,LITRO
14,Pallar,8.0,Menestras,KILOGRAMO
15,Palta fuerte,6.7,Frutas,KILOGRAMO
16,Arveja verde blanca serrana,7.55,Legumbres,KILOGRAMO
17,Choclo (tipo cusco),8.7,Cereales,UNIDAD
18,Arroz extra,4.55,Cereales,KILOGRAMO
19,Manzana delicia,3.9,Frutas,KILOGRAMO
20,Cebolla cabeza roja,3.7,Hortalizas,KILOGRAMO
21,Aceite clasico botella 900 ml,10.7,Agro-industriales,LITRO
22,Manzana israel,4.35,Frutas,KILOGRAMO
23,Lenteja,8.2,Menestras,KILOGRAMO
24,Frijol canario,6.25,Menestras,KILOGRAMO
25,Arroz superior,4.15,Cereales,KILOGRAMO
26,Aji escabeche,4.15,Hortalizas,MALLA
27,Frijol castilla,5.6,Menestras,KILOGRAMO
28,Sandia,2.55,Frutas,KILOGRAMO
29,Papaya,3.1,Frutas,KILOGRAMO
30,Uva red globe,7.35,Frutas,KILOGRAMO
31,Camote morado,3.05,Tuberculos,KILOGRAMO
32,Fideos nicolini tallarin,6.7,Agro-industriales,KILOGRAMO
33,Naranja valencia,3.4,Frutas,KILOGRAMO
34,Leche reconstituida (azul) 395 gr,4.1,Agro-industriales,LATA
35,Uva italia,7.75,Frutas,KILOGRAMO
36,Azucar blanca nacional (granel),4.55,Agro-industriales,KILOGRAMO
37,Melocoton durazno huayco,10.25,Frutas,KILOGRAMO
38,Pina criolla,2.75,Frutas,KILOGRAMO
39,Vainita americana,5.55,Legumbres,KILOGRAMO
40,Melon coquito,3.55,Frutas,KILOGRAMO
41,Limon sutil bolsa,4.3,Frutas,KILOGRAMO
42,Platano seda congo,4.2,Frutas,KILOGRAMO
43,Papa amarilla,4.5,Tuberculos,KILOGRAMO
44,Papa canchan,2.65,Tuberculos,KILOGRAMO
45,Aji rocoto,6.55,Hortalizas,KILOGRAMO
46,Garbanzo,9.65,Menestras,KILOGRAMO
47,Tomate,4.45,Hortalizas,KILOGRAMO
48,Uva alfonso lavalett,6.7,Frutas,KILOGRAMO
49,Carne de porcino (corte unico),20.15,Carnes y huevos,KILOGRAMO
50,Haba verde serrana,3.85,Legumbres,KILOGRAMO
51,Ajo criollo o napuri,17.65,Hortalizas,KILOGRAMO
52,Huevos rosados,10.0,Carnes y huevos,KILOGRAMO
53,Chirimoya cumbe,9.65,Frutas,KILOGRAMO
54,Zapallo macre,3.55,Hortalizas,KILOGRAMO
55,Carne fresca de vacuno,22.4,Carnes y huevos,KILOGRAMO
56,Platano bellaco,4.1,Frutas,LITRO
57,Pallar,8.0,Menestras,KILOGRAMO
58,Palta fuerte,6.65,Frutas,KILOGRAMO
59,Arveja verde blanca serrana,7.55,Legumbres,KILOGRAMO
60,Choclo (tipo cusco),8.7,Cereales,UNIDAD
61,Arroz extra,4.55,Cereales,KILOGRAMO
62,Manzana delicia,3.8,Frutas,KILOGRAMO
63,Cebolla cabeza roja,3.4,Hortalizas,KILOGRAMO
64,Aceite clasico botella 900 ml,10.7,Agro-industriales,LITRO
65,Manzana israel,4.35,Frutas,KILOGRAMO
66,Lenteja,8.2,Menestras,KILOGRAMO
67,Frijol canario,6.25,Menestras,KILOGRAMO
68,Arroz superior,4.15,Cereales,KILOGRAMO
69,Aji escabeche,4.15,Hortalizas,MALLA
70,Frijol castilla,5.45,Menestras,KILOGRAMO
71,Sandia,2.55,Frutas,KILOGRAMO
72,Papaya,3.1,Frutas,KILOGRAMO
73,Uva red globe,7.35,Frutas,KILOGRAMO
74,Camote morado,3.05,Tuberculos,KILOGRAMO
75,Fideos nicolini tallarin,6.7,Agro-industriales,KILOGRAMO
76,Naranja valencia,3.4,Frutas,KILOGRAMO
77,Leche reconstituida (azul) 395 gr,4.1,Agro-industriales,LATA
78,Uva italia,7.75,Frutas,KILOGRAMO
79,Azucar blanca nacional (granel),4.55,Agro-industriales,KILOGRAMO
80,Melocoton durazno huayco,10.25,Frutas,KILOGRAMO
81,Pina criolla,2.75,Frutas,KILOGRAMO
82,Vainita americana,5.55,Legumbres,KILOGRAMO
83,Melon coquito,3.55,Frutas,KILOGRAMO
84,Limon sutil bolsa,4.05,Frutas,KILOGRAMO
85,Platano seda congo,4.2,Frutas,KILOGRAMO
86,Papa canchan,2.65,Tuberculos,KILOGRAMO
87,Aji rocoto,6.55,Hortalizas,KILOGRAMO
88,Garbanzo,9.75,Menestras,KILOGRAMO
89,Tomate,4.45,Hortalizas,KILOGRAMO
90,Uva alfonso lavalett,6.65,Frutas,KILOGRAMO
91,Papa amarilla,4.45,Tuberculos,KILOGRAMO
92,Yuca blanca,3.85,Tuberculos,KILOGRAMO
93,Leche fresca,4.9,Agro-industriales,LITRO
94,Olluco largo,4.1,Tuberculos,KILOGRAMO
95,Zanahoria,3.65,Hortalizas,KILOGRAMO
96,Azucar rubia nacional (granel),4.1,Agro-industriales,KILOGRAMO
97,Carne de pollo (eviscerado),10.15,Carnes y huevos,KILOGRAMO
98,Ajo criollo o napuri,17.65,Hortalizas,KILOGRAMO
99,Huevos rosados,10.0,Carnes y huevos,KILOGRAMO
100,Chirimoya cumbe,9.4,Frutas,KILOGRAMO
101,Zapallo macre,3.55,Hortalizas,KILOGRAMO
102,Carne fresca de vacuno,20.8,Carnes y huevos,KILOGRAMO
103,Platano bellaco,4.05,Frutas,LITRO
104,Pallar,8.0,Menestras,KILOGRAMO
105,Palta fuerte,6.6,Frutas,KILOGRAMO
106,Arveja verde blanca serrana,7.55,Legumbres,KILOGRAMO
107,Choclo (tipo cusco),8.7,Cereales,UNIDAD
108,Arroz extra,4.55,Cereales,KILOGRAMO
109,Manzana delicia,3.8,Frutas,KILOGRAMO
110,Cebolla cabeza roja,3.4,Hortalizas,KILOGRAMO
111,Aceite clasico botella 900 ml,10.7,Agro-industriales,LITRO
112,Manzana israel,4.35,Frutas,KILOGRAMO
113,Lenteja,7.9,Menestras,KILOGRAMO
114,Frijol canario,6.25,Menestras,KILOGRAMO
115,Arroz superior,4.0,Cereales,KILOGRAMO
116,Aji escabeche,4.15,Hortalizas,MALLA
117,Frijol castilla,5.45,Menestras,KILOGRAMO
118,Sandia,2.55,Frutas,KILOGRAMO
119,Papaya,3.1,Frutas,KILOGRAMO
120,Uva red globe,7.35,Frutas,KILOGRAMO
121,Camote morado,3.05,Tuberculos,KILOGRAMO
122,Fideos nicolini tallarin,6.7,Agro-industriales,KILOGRAMO
123,Naranja valencia,3.35,Frutas,KILOGRAMO
124,Leche reconstituida (azul) 395 gr,4.2,Agro-industriales,LATA
125,Uva italia,7.75,Frutas,KILOGRAMO
126,Azucar blanca nacional (granel),4.55,Agro-industriales,KILOGRAMO
127,Melocoton durazno huayco,10.25,Frutas,KILOGRAMO
128,Pina criolla,2.75,Frutas,KILOGRAMO
129,Vainita americana,5.55,Legumbres,KILOGRAMO
